Product (L0),Product (L1),Product (L2),Product (L3),_row_number
Banking,Banking Others,Banking Others,Banking Others,1
Banking,Capital Markets & Advisory,Advisory,Advisory Inp,2
Banking,Capital Markets & Advisory,Advisory,Advisory Other,3
Banking,Capital Markets & Advisory,Advisory,ESG Advisory,4
Banking,Capital Markets & Advisory,Advisory,M&A Advisory,5
Banking,Capital Markets & Advisory,Capital Markets,CM CMS,6
Banking,Capital Markets & Advisory,Capital Markets,CM DCM,7
Banking,Capital Markets & Advisory,Capital Markets,Capital Markets Input,8
Banking,Capital Markets & Advisory,Capital Markets,FM Capital Markets - Inp,9
Banking,Capital Markets & Advisory,Capital Markets & Advisory Others,Capital Markets & Advisory Others,10
Banking,Lending & Financing Solutions,CRE,CRE Distribution,11
Banking,Lending & Financing Solutions,CRE,CRE Origination,12
Banking,Lending & Financing Solutions,CRE,CRE Private & Traded Credit,13
Banking,Lending & Financing Solutions,CRE,Fund Finance-GCM,14
Banking,Lending & Financing Solutions,CRE,Lending,15
Banking,Lending & Financing Solutions,Data Centre,Data Centre Distribution,16
Banking,Lending & Financing Solutions,Data Centre,Data Centre Orgination,17
Banking,Lending & Financing Solutions,Financing Solutions,FS Banking,18
Banking,Lending & Financing Solutions,Financing Solutions,FS Distribution,19
Banking,Lending & Financing Solutions,Financing Solutions,FS Origination,20
Banking,Lending & Financing Solutions,Financing Solutions,FS Private & Traded Credit,21
Banking,Lending & Financing Solutions,Fund Finance,Fund Finance Distribution,22
Banking,Lending & Financing Solutions,Fund Finance,Fund Finance Origination,23
Banking,Lending & Financing Solutions,"GCIC, PM Cost and Others",Risk & Others,24
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,Development & Agency Finance Distribution,25
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,Development & Agency Finance Origination,26
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,IDFG - Warehouse,27
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,IDFG Private & Traded Credit,28
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,Infrastructure and Development Finance Group Input,29
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,Project Finance Distribution,30
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,Project Finance Origination,31
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,Venus,32
Banking,Lending & Financing Solutions,Lending & Financing Solutions Others,AG IGG,33
Banking,Lending & Financing Solutions,Lending & Financing Solutions Others,CLO,34
Banking,Lending & Financing Solutions,Lending & Financing Solutions Others,Chakras,35
Banking,Lending & Financing Solutions,Lending & Financing Solutions Others,Funding Relief,36
Banking,Lending & Financing Solutions,Lending & Financing Solutions Others,GCIG,37
Banking,Lending & Financing Solutions,Lending & Financing Solutions Others,L&FS Others,38
Banking,Lending & Financing Solutions,Lending & Financing Solutions Others,Lending & Financing Solutions Others Input,39
Banking,Lending & Financing Solutions,Lending & Financing Solutions Others,Prior Year OR,40
Banking,Lending & Financing Solutions,Leverage & Acquisition Financing and Private Credit,Finco Desk,41
Banking,Lending & Financing Solutions,Leverage & Acquisition Financing and Private Credit,LAF Bonds,42
Banking,Lending & Financing Solutions,Leverage & Acquisition Financing and Private Credit,LAF Distribution,43
Banking,Lending & Financing Solutions,Leverage & Acquisition Financing and Private Credit,LAF Origination,44
Banking,Lending & Financing Solutions,Leverage & Acquisition Financing and Private Credit,LAF Private & Traded Credit,45
Banking,Lending & Financing Solutions,Transportation,Aviation,46
Banking,Lending & Financing Solutions,Transportation,Transportation - Inp,47
Banking,Lending & Financing Solutions,Transportation,Transportation Banking,48
Banking,Lending & Financing Solutions,Transportation,Transportation Distribution,49
Banking,Lending & Financing Solutions,Transportation,Transportation Operations Lease,50
Banking,Lending & Financing Solutions,Transportation,Transportation Origination,51
Markets,Credit Trading,Bespoke Credit Solutions,BCS- Equity Derivatives,52
Markets,Credit Trading,Bespoke Credit Solutions,BCS- Equity Financing,53
Markets,Credit Trading,Bespoke Credit Solutions,Bespoke Credit Solutions,54
Markets,Credit Trading,CT Others,Credit Trading Inp,55
Markets,Credit Trading,Central Credit Unit,CCU Deployment,56
